42982973000.31171,71711227791.3239,66567547201.0647,52853427949.86831,67247232773.40509
60199125357.84942,75046735749.59161,58878253735.18606,61839906608.7154,64642125111.52642
68805932698.65288,69197191571.37325,72432906436.8287,74230749711.95496,77692127559.40634
55250421817.8007,55547065505.78805,79358644267.27977,63576804333.08322,75919326029.79942
71107213263.64037,64991388391.50132,53696520464.99608,55895555011.02603,66615162114.05261
79960200729.00789,57235165344.63955,60133384484.26146,54229046171.31654,65183640633.35819
60861449995.16663,70743018742.7867,63112658396.59627,83957758342.24483,70525619008.72893
59136749537.97111,52055069713.80273,67853429003.02675,44215389091.00595,52552136410.64992
46915057633.68441,42328611416.98703,49691322656.7304,56353819544.03551,71401705152.05635
64077610422.15953,54392331998.2854,57688168176.06075,68348331467.50287,54201430826.88234
65571488759.21544,64471590802.15996,61480103888.8726,67119051707.73646,68340007152.20411
67755611662.79759,57839651717.66033,70488627039.80458,72184328081.48671,46348385622.38211
53023405002.39224,81929355893.87009,33329499351.85579,75288806189.36537,58610592819.14368
66864518287.89231,49743525100.14545,73986209651.10312,70775149239.69125,60508009946.51347
72334292668.16388,66219646891.91782,54243799835.76944,62196625769.94354,56097094492.28101
61321200327.26107,68321163560.43094,67232098269.14222,59572545886.9138,58016943054.2834
57317824084.59586,90074245468.7616,69662071708.85548,48243381348.18864,61429307496.58283
62833527483.60579,74773882642.50661,64970787338.15482,71668249015.90562,79192276572.95024
78183250261.40186,67307292303.06239,56787456530.82304,65160839662.67081,73348451861.51057
55085054162.68713,72672745493.50763,60327870559.19672,64543476609.43637,69494422780.96506
63262041570.45937,52805730637.29211,45050525811.28618,69110137891.93323,63854003205.65554
70463914658.56065,60708501691.02,55652436821.31425,76918359521.52379,38622957655.25269
76258964793.24908,46075659139.25601,71606984120.30331,58488898019.98277,98332347574.05005
57689646365.60336,48454255912.2906,64271769603.90526,61180410308.679,51045231298.23679
74620976632.30006,63374589971.6475,62356083712.72458,49515165402.93729,74605952961.492
52223842006.88502,62190012823.77915,88403563501.7287,65841814007.28763,53069450768.10618
66375858676.08978,62094801281.18627,47355677016.5531,57394775476.49736,59817316973.80889
88135975861.26379,78468514114.00459,76487327705.94724,51579467079.28502,46993169651.42413
47821795573.20412,59206193816.18016,77906668738.32578,81250705073.35583,57010083857.03712
49552773733.9698,59686920271.36121,52545621868.75657,40243733341.30746,62202156994.67492
